Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,WeekStatus,Day_of_week,Load_Type,Leading_Current_Power_Factor,Lagging_Current_Power_Factor
93.53,67.36,0.00,Weekday,Tuesday,Maximum_Load,100.00,81.15
2.88,0.00,10.15,Weekend,Sunday,Light_Load,27.30,100.00
58.61,28.91,0.00,Weekday,Tuesday,Medium_Load,100.00,89.68
63.18,31.72,0.00,Weekday,Monday,Maximum_Load,100.00,89.37
3.64,3.24,0.04,Weekend,Saturday,Light_Load,99.99,74.70
3.78,6.34,0.00,Weekday,Wednesday,Light_Load,100.00,51.21
2.84,4.79,0.00,Weekday,Tuesday,Light_Load,100.00,51.00
3.31,0.00,13.75,Weekend,Saturday,Light_Load,23.40,100.00
52.49,23.33,0.00,Weekday,Friday,Medium_Load,100.00,91.38
68.04,27.97,0.00,Weekday,Tuesday,Maximum_Load,100.00,92.49
34.74,28.87,0.00,Weekday,Thursday,Light_Load,100.00,76.91
43.31,17.68,0.00,Weekday,Tuesday,Medium_Load,100.00,92.58
3.17,0.00,16.96,Weekend,Sunday,Light_Load,18.37,100.00
42.62,7.09,1.94,Weekday,Monday,Medium_Load,99.90,98.64
2.74,4.43,0.00,Weekday,Tuesday,Light_Load,100.00,52.60
5.04,3.20,0.47,Weekday,Wednesday,Maximum_Load,99.57,84.42
2.63,4.93,0.00,Weekend,Saturday,Light_Load,100.00,47.07
7.24,1.30,9.54,Weekday,Wednesday,Medium_Load,60.45,98.43
3.10,2.77,0.00,Weekend,Saturday,Light_Load,100.00,74.57
3.46,6.30,0.00,Weekday,Monday,Light_Load,100.00,48.14
3.60,2.45,0.40,Weekday,Friday,Light_Load,99.39,82.67
2.59,4.54,0.00,Weekend,Sunday,Light_Load,100.00,49.55
3.64,0.00,14.51,Weekend,Sunday,Light_Load,24.33,100.00
61.74,33.59,0.00,Weekday,Wednesday,Medium_Load,100.00,87.84
2.48,5.22,0.00,Weekday,Wednesday,Light_Load,100.00,42.91
41.18,21.38,0.00,Weekday,Friday,Maximum_Load,100.00,88.75
2.84,5.15,0.00,Weekday,Tuesday,Light_Load,100.00,48.29
65.34,33.88,0.00,Weekday,Monday,Medium_Load,100.00,88.78
50.54,50.51,0.00,Weekday,Monday,Light_Load,100.00,70.73
3.92,0.00,18.32,Weekday,Wednesday,Medium_Load,20.92,100.00
90.83,35.82,0.00,Weekday,Tuesday,Medium_Load,100.00,93.03
68.04,34.45,0.00,Weekday,Friday,Medium_Load,100.00,89.22
5.36,0.00,26.89,Weekday,Tuesday,Medium_Load,19.55,100.00
24.44,4.68,4.86,Weekday,Thursday,Medium_Load,98.08,98.22
63.83,11.16,0.25,Weekday,Tuesday,Medium_Load,100.00,98.51
2.77,4.86,0.00,Weekend,Sunday,Light_Load,100.00,49.52
73.94,27.25,0.00,Weekday,Thursday,Medium_Load,100.00,93.83
4.57,7.20,0.00,Weekday,Friday,Light_Load,100.00,53.59
4.36,0.00,16.92,Weekday,Friday,Medium_Load,24.95,100.00
71.93,43.38,0.00,Weekday,Wednesday,Maximum_Load,100.00,85.63
26.14,25.88,0.00,Weekday,Friday,Light_Load,100.00,71.06
57.46,27.83,0.00,Weekday,Thursday,Medium_Load,100.00,90.00
2.92,3.96,0.00,Weekday,Friday,Light_Load,100.00,59.35
3.71,3.06,0.00,Weekday,Wednesday,Light_Load,100.00,77.14
94.64,42.19,0.00,Weekday,Thursday,Maximum_Load,100.00,91.34
3.89,0.00,18.04,Weekend,Sunday,Light_Load,21.08,100.00
6.01,6.26,0.00,Weekday,Tuesday,Maximum_Load,100.00,69.26
3.92,0.00,26.57,Weekday,Wednesday,Medium_Load,14.60,100.00
115.49,49.97,0.00,Weekday,Wednesday,Maximum_Load,100.00,91.78
3.67,0.00,11.20,Weekend,Saturday,Medium_Load,31.14,100.00
31.86,14.11,0.00,Weekend,Saturday,Maximum_Load,100.00,91.43
6.12,0.00,16.99,Weekday,Thursday,Medium_Load,33.89,100.00
5.90,5.26,0.00,Weekday,Tuesday,Light_Load,100.00,74.64
3.67,3.02,0.07,Weekday,Monday,Light_Load,99.98,77.22
5.26,0.00,25.06,Weekday,Friday,Medium_Load,20.54,100.00
2.66,0.00,11.95,Weekend,Sunday,Light_Load,21.73,100.00
2.81,5.33,0.00,Weekend,Sunday,Light_Load,100.00,46.64
2.63,5.47,0.00,Weekday,Monday,Light_Load,100.00,43.33
3.06,3.92,0.00,Weekend,Sunday,Light_Load,100.00,61.53
4.21,0.00,25.81,Weekday,Monday,Medium_Load,16.10,100.00
3.92,0.00,17.17,Weekday,Wednesday,Medium_Load,22.26,100.00
83.99,30.71,0.00,Weekday,Thursday,Maximum_Load,100.00,93.92
56.70,29.23,0.00,Weekday,Friday,Medium_Load,100.00,88.88
20.16,1.01,13.00,Weekday,Thursday,Medium_Load,84.04,99.87
4.32,0.11,13.00,Weekday,Monday,Medium_Load,31.54,99.97
5.47,0.00,26.96,Weekday,Thursday,Medium_Load,19.88,100.00
2.95,0.00,16.74,Weekend,Saturday,Light_Load,17.36,100.00
21.92,0.94,9.94,Weekend,Saturday,Maximum_Load,91.07,99.91
3.02,0.00,17.10,Weekend,Sunday,Medium_Load,17.39,100.00
39.38,3.74,1.12,Weekday,Wednesday,Medium_Load,99.96,99.55
4.03,0.00,16.20,Weekend,Sunday,Light_Load,24.14,100.00
4.03,0.00,20.95,Weekend,Sunday,Light_Load,18.89,100.00
3.67,3.85,0.00,Weekday,Friday,Light_Load,100.00,69.00
3.82,0.00,23.58,Weekend,Sunday,Light_Load,15.99,100.00
48.02,22.68,0.00,Weekday,Tuesday,Maximum_Load,100.00,90.42
3.64,0.00,16.99,Weekend,Sunday,Light_Load,20.95,100.00
3.35,0.00,17.60,Weekday,Thursday,Light_Load,18.70,100.00
5.83,3.13,0.22,Weekday,Wednesday,Light_Load,99.93,88.11
3.64,6.34,0.00,Weekday,Friday,Light_Load,100.00,49.79
103.03,40.03,0.00,Weekend,Saturday,Maximum_Load,100.00,93.21
2.63,5.04,0.00,Weekday,Monday,Light_Load,100.00,46.26
4.32,7.16,0.00,Weekday,Monday,Light_Load,100.00,51.66
3.20,5.65,0.00,Weekday,Friday,Light_Load,100.00,49.28
89.06,43.78,0.00,Weekday,Thursday,Medium_Load,100.00,89.74
4.21,3.53,0.07,Weekday,Tuesday,Light_Load,99.99,76.63
2.70,4.82,0.00,Weekend,Sunday,Light_Load,100.00,48.87
124.52,47.12,0.00,Weekday,Monday,Medium_Load,100.00,93.53
2.92,5.44,0.00,Weekend,Sunday,Light_Load,100.00,47.29
3.38,5.69,0.00,Weekend,Saturday,Light_Load,100.00,51.07
2.74,4.54,0.00,Weekend,Sunday,Light_Load,100.00,51.67
2.81,5.94,0.00,Weekday,Wednesday,Light_Load,100.00,42.76
71.64,32.00,0.00,Weekday,Friday,Light_Load,100.00,91.31
5.47,0.00,19.48,Weekday,Monday,Medium_Load,27.03,100.00
2.74,0.00,5.40,Weekday,Wednesday,Light_Load,45.25,100.00
50.08,15.30,0.00,Weekday,Monday,Medium_Load,100.00,95.64
3.71,3.31,0.00,Weekend,Saturday,Light_Load,100.00,74.62
122.87,63.07,0.00,Weekday,Thursday,Maximum_Load,100.00,88.96
42.12,37.66,0.00,Weekday,Tuesday,Light_Load,100.00,74.55
3.71,0.00,16.31,Weekend,Sunday,Light_Load,22.18,100.00
3.24,0.00,13.82,Weekend,Saturday,Light_Load,22.83,100.00
100.01,48.10,0.00,Weekend,Saturday,Medium_Load,100.00,90.12
2.92,5.80,0.00,Weekend,Saturday,Light_Load,100.00,44.97
88.74,34.49,0.00,Weekday,Monday,Medium_Load,100.00,93.21
72.54,47.41,0.00,Weekday,Monday,Maximum_Load,100.00,83.71
29.02,6.08,0.97,Weekday,Friday,Medium_Load,99.94,97.87
3.56,4.28,0.00,Weekday,Tuesday,Light_Load,100.00,63.95
95.65,33.08,0.00,Weekend,Saturday,Maximum_Load,100.00,94.51
3.24,0.00,10.19,Weekend,Saturday,Light_Load,30.30,100.00
3.56,4.10,0.00,Weekday,Monday,Medium_Load,100.00,65.56
4.86,0.00,25.13,Weekday,Wednesday,Medium_Load,18.99,100.00
3.13,3.92,0.00,Weekend,Saturday,Light_Load,100.00,62.40
43.81,16.27,0.00,Weekday,Tuesday,Maximum_Load,100.00,93.74
2.92,5.04,0.00,Weekday,Friday,Light_Load,100.00,50.13
3.74,2.77,0.00,Weekday,Tuesday,Light_Load,100.00,80.36
3.46,4.68,0.00,Weekend,Saturday,Light_Load,100.00,59.45
3.20,4.57,0.00,Weekday,Tuesday,Light_Load,100.00,57.36
25.27,0.04,4.39,Weekday,Monday,Medium_Load,98.52,100.00
7.67,6.01,0.36,Weekend,Saturday,Light_Load,99.89,78.71
54.00,33.16,0.00,Weekday,Tuesday,Maximum_Load,100.00,85.22
2.88,2.70,0.00,Weekday,Tuesday,Light_Load,100.00,72.95
100.98,33.84,0.00,Weekday,Monday,Maximum_Load,100.00,94.82
44.82,24.80,0.00,Weekend,Sunday,Maximum_Load,100.00,87.50
62.28,26.60,0.00,Weekday,Thursday,Medium_Load,100.00,91.96
2.59,4.79,0.00,Weekend,Sunday,Light_Load,100.00,47.56
69.30,34.02,0.58,Weekday,Monday,Medium_Load,100.00,89.77
102.82,43.38,0.00,Weekday,Tuesday,Maximum_Load,100.00,92.14
6.30,2.41,0.07,Weekday,Thursday,Light_Load,99.99,93.40
3.71,0.00,13.68,Weekend,Saturday,Medium_Load,26.17,100.00
111.78,56.16,0.00,Weekday,Friday,Maximum_Load,100.00,89.36
3.24,2.99,0.00,Weekend,Saturday,Light_Load,100.00,73.49
2.56,5.04,0.00,Weekend,Sunday,Light_Load,100.00,45.29
54.79,40.28,0.00,Weekday,Friday,Maximum_Load,100.00,80.57
4.79,0.00,26.75,Weekend,Saturday,Light_Load,17.63,100.00
3.17,3.82,0.00,Weekday,Thursday,Light_Load,100.00,63.86
2.88,0.00,4.25,Weekday,Thursday,Light_Load,56.10,100.00
36.90,0.61,6.34,Weekday,Friday,Medium_Load,98.56,99.99
59.36,39.96,0.00,Weekday,Wednesday,Maximum_Load,100.00,82.95
2.74,0.00,11.81,Weekend,Sunday,Light_Load,22.60,100.00
3.53,0.00,15.59,Weekend,Saturday,Light_Load,22.08,100.00
98.93,41.76,0.00,Weekday,Monday,Medium_Load,100.00,92.13
2.70,4.46,0.00,Weekend,Saturday,Light_Load,100.00,51.79
37.26,3.60,0.18,Weekday,Tuesday,Medium_Load,100.00,99.54
2.84,4.21,0.00,Weekday,Thursday,Light_Load,100.00,55.92
7.96,0.04,25.67,Weekday,Friday,Medium_Load,29.62,100.00
3.56,6.23,0.00,Weekday,Friday,Medium_Load,100.00,49.61
3.74,3.13,0.14,Weekend,Sunday,Light_Load,99.93,76.69
5.51,6.70,0.00,Weekday,Wednesday,Light_Load,100.00,63.52
6.34,0.00,21.20,Weekday,Thursday,Medium_Load,28.65,100.00
3.06,4.97,0.00,Weekday,Wednesday,Light_Load,100.00,52.43
6.05,6.08,0.00,Weekday,Wednesday,Light_Load,100.00,70.54
56.81,25.06,0.00,Weekday,Friday,Maximum_Load,100.00,91.49
2.84,0.00,11.63,Weekend,Sunday,Light_Load,23.72,100.00
62.82,27.36,0.00,Weekday,Thursday,Medium_Load,100.00,91.68
4.25,0.00,25.85,Weekday,Monday,Medium_Load,16.22,100.00
3.17,0.00,16.92,Weekend,Sunday,Light_Load,18.41,100.00
2.99,0.00,16.52,Weekday,Friday,Light_Load,17.81,100.00
3.60,5.29,0.00,Weekday,Friday,Light_Load,100.00,56.26
5.58,0.00,16.34,Weekday,Wednesday,Medium_Load,32.32,100.00
96.55,47.84,0.00,Weekday,Monday,Medium_Load,100.00,89.60
64.62,40.10,0.00,Weekday,Tuesday,Medium_Load,100.00,84.97
4.54,0.00,26.50,Weekend,Saturday,Light_Load,16.89,100.00
69.70,41.76,0.00,Weekday,Monday,Maximum_Load,100.00,85.78
2.84,5.80,0.00,Weekend,Sunday,Light_Load,100.00,43.98
2.92,0.00,16.74,Weekend,Sunday,Light_Load,17.18,100.00
82.08,27.04,0.00,Weekday,Friday,Medium_Load,100.00,94.98
2.77,4.43,0.00,Weekday,Wednesday,Light_Load,100.00,53.02
92.99,39.92,0.00,Weekday,Monday,Maximum_Load,100.00,91.89
82.22,30.13,0.00,Weekday,Tuesday,Medium_Load,100.00,93.89
2.74,4.68,0.00,Weekday,Wednesday,Light_Load,100.00,50.52
69.84,27.32,0.04,Weekday,Tuesday,Medium_Load,100.00,93.13
4.57,4.68,0.00,Weekday,Wednesday,Light_Load,100.00,69.86
2.56,5.47,0.00,Weekday,Tuesday,Light_Load,100.00,42.39
31.93,3.71,1.69,Weekday,Tuesday,Maximum_Load,99.86,99.33
19.66,0.40,13.82,Weekday,Tuesday,Medium_Load,81.81,99.98
54.61,34.38,0.50,Weekday,Monday,Maximum_Load,100.00,84.63
56.20,34.74,0.00,Weekday,Wednesday,Light_Load,100.00,85.06
4.21,4.07,0.00,Weekend,Saturday,Light_Load,100.00,71.90
57.17,45.65,0.00,Weekday,Monday,Light_Load,100.00,78.14
48.96,51.26,0.00,Weekday,Monday,Light_Load,100.00,69.07
59.11,38.09,0.00,Weekday,Wednesday,Maximum_Load,100.00,84.06
3.17,2.12,0.22,Weekday,Friday,Light_Load,99.76,83.12
4.21,0.00,27.65,Weekday,Thursday,Medium_Load,15.05,100.00
3.71,5.29,0.00,Weekday,Tuesday,Medium_Load,100.00,57.42
2.77,3.96,0.00,Weekend,Sunday,Light_Load,100.00,57.32
4.50,0.00,26.53,Weekend,Saturday,Medium_Load,16.72,100.00
58.36,22.36,0.00,Weekday,Wednesday,Medium_Load,100.00,93.38
3.42,3.96,0.00,Weekend,Sunday,Light_Load,100.00,65.36
4.00,0.00,13.75,Weekend,Saturday,Medium_Load,27.93,100.00
2.95,0.00,16.96,Weekend,Sunday,Light_Load,17.14,100.00
2.81,0.00,11.20,Weekend,Sunday,Light_Load,24.34,100.00
3.82,5.04,0.00,Weekday,Wednesday,Light_Load,100.00,60.40
42.66,10.69,0.00,Weekday,Thursday,Maximum_Load,100.00,97.00
98.53,46.19,0.00,Weekday,Thursday,Medium_Load,100.00,90.54
37.30,1.87,0.47,Weekend,Saturday,Medium_Load,99.99,99.87
68.62,39.96,0.00,Weekday,Monday,Light_Load,100.00,86.42
62.96,31.46,0.00,Weekday,Tuesday,Maximum_Load,100.00,89.45
2.99,0.00,3.56,Weekday,Tuesday,Light_Load,64.31,100.00
3.10,5.80,0.00,Weekday,Tuesday,Light_Load,100.00,47.14
6.44,3.17,0.00,Weekday,Thursday,Light_Load,100.00,89.72
56.99,25.92,0.00,Weekend,Saturday,Maximum_Load,100.00,91.03
3.60,4.00,0.00,Weekday,Monday,Medium_Load,100.00,66.90
66.06,59.36,0.00,Weekday,Thursday,Light_Load,100.00,74.38
4.14,0.00,21.56,Weekday,Monday,Maximum_Load,18.86,100.00
3.10,0.00,15.08,Weekend,Sunday,Light_Load,20.14,100.00
2.88,0.00,16.96,Weekend,Saturday,Medium_Load,16.74,100.00
4.07,3.85,0.00,Weekday,Monday,Light_Load,100.00,72.65
31.86,0.00,6.59,Weekend,Saturday,Maximum_Load,97.93,100.00
3.20,5.69,0.00,Weekend,Saturday,Light_Load,100.00,49.02
70.96,30.71,0.00,Weekday,Monday,Medium_Load,100.00,91.77
3.42,0.00,14.58,Weekend,Saturday,Light_Load,22.84,100.00
3.17,6.12,0.00,Weekday,Monday,Light_Load,100.00,45.99
45.58,4.39,0.04,Weekday,Friday,Maximum_Load,100.00,99.54
4.03,6.30,0.00,Weekday,Thursday,Light_Load,100.00,53.89
34.81,3.46,1.91,Weekday,Tuesday,Medium_Load,99.85,99.51
3.67,0.00,10.87,Weekday,Thursday,Medium_Load,31.99,100.00
74.27,33.84,0.00,Weekday,Wednesday,Maximum_Load,100.00,91.00
4.03,6.16,0.00,Weekend,Saturday,Light_Load,100.00,54.75
110.74,79.78,0.00,Weekday,Tuesday,Light_Load,100.00,81.14
38.12,16.85,0.00,Weekday,Friday,Medium_Load,100.00,91.46
3.13,5.90,0.00,Weekend,Saturday,Light_Load,100.00,46.86
72.83,37.04,0.00,Weekday,Monday,Maximum_Load,100.00,89.13
32.94,0.07,3.46,Weekday,Thursday,Maximum_Load,99.45,100.00
109.33,61.70,0.00,Weekday,Monday,Maximum_Load,100.00,87.09
4.72,5.58,0.00,Weekday,Wednesday,Light_Load,100.00,64.58
3.56,0.00,10.44,Weekend,Saturday,Medium_Load,32.27,100.00
4.10,4.21,0.00,Weekday,Wednesday,Light_Load,100.00,69.77
3.06,3.10,0.00,Weekend,Saturday,Light_Load,100.00,70.25
124.70,50.47,0.00,Weekday,Friday,Medium_Load,100.00,92.70
93.06,44.60,0.00,Weekday,Tuesday,Maximum_Load,100.00,90.18
74.34,30.56,0.00,Weekday,Monday,Maximum_Load,100.00,92.49
3.06,0.00,17.14,Weekend,Sunday,Light_Load,17.58,100.00
4.82,6.77,0.00,Weekday,Friday,Light_Load,100.00,58.00
28.22,9.25,0.00,Weekend,Sunday,Maximum_Load,100.00,95.03
50.58,8.32,0.07,Weekday,Friday,Medium_Load,100.00,98.67
43.34,33.41,0.00,Weekday,Monday,Medium_Load,100.00,79.20
59.40,44.71,0.00,Weekday,Monday,Maximum_Load,100.00,79.90
49.64,27.68,0.00,Weekday,Friday,Maximum_Load,100.00,87.34
3.35,4.28,0.00,Weekday,Wednesday,Light_Load,100.00,61.64
51.08,12.78,0.00,Weekday,Wednesday,Light_Load,100.00,97.01
3.24,3.74,0.00,Weekend,Sunday,Light_Load,100.00,65.48
64.22,26.06,0.00,Weekday,Monday,Medium_Load,100.00,92.66
74.45,20.63,0.00,Weekday,Thursday,Maximum_Load,100.00,96.37
54.94,36.07,0.00,Weekday,Monday,Maximum_Load,100.00,83.59
3.10,3.92,0.00,Weekend,Sunday,Light_Load,100.00,62.03
2.88,4.93,0.00,Weekday,Wednesday,Light_Load,100.00,50.44
3.60,4.61,0.00,Weekday,Wednesday,Light_Load,100.00,61.55
3.35,4.50,0.00,Weekday,Friday,Light_Load,100.00,59.71
3.13,6.12,0.00,Weekend,Saturday,Light_Load,100.00,45.53
3.10,0.00,4.28,Weekday,Friday,Light_Load,58.66,100.00
66.92,49.97,0.00,Weekday,Friday,Light_Load,100.00,80.13
2.84,5.62,0.00,Weekday,Thursday,Light_Load,100.00,45.10
52.06,35.32,0.00,Weekday,Tuesday,Light_Load,100.00,82.75
4.97,0.00,13.97,Weekday,Monday,Medium_Load,33.52,100.00
3.64,6.30,0.00,Weekday,Monday,Light_Load,100.00,50.03
4.32,3.42,0.00,Weekday,Tuesday,Light_Load,100.00,78.40
105.48,38.23,0.00,Weekday,Tuesday,Medium_Load,100.00,94.02
2.92,4.61,0.00,Weekday,Tuesday,Light_Load,100.00,53.51
3.64,5.00,0.00,Weekday,Monday,Medium_Load,100.00,58.86
3.13,0.00,16.74,Weekend,Sunday,Light_Load,18.38,100.00
3.10,0.00,16.99,Weekend,Saturday,Medium_Load,17.95,100.00
3.38,4.68,0.00,Weekday,Monday,Light_Load,100.00,58.55
6.01,7.67,0.00,Weekend,Sunday,Light_Load,100.00,61.68
45.65,18.54,0.00,Weekday,Thursday,Medium_Load,100.00,92.65
45.14,12.38,0.00,Weekend,Saturday,Medium_Load,100.00,96.44
3.10,2.88,0.00,Weekday,Thursday,Light_Load,100.00,73.26
3.06,5.04,0.00,Weekday,Thursday,Light_Load,100.00,51.90
32.54,0.29,4.18,Weekend,Saturday,Maximum_Load,99.19,100.00
80.53,39.53,0.00,Weekday,Wednesday,Maximum_Load,100.00,89.77
25.56,0.00,9.43,Weekday,Friday,Medium_Load,93.82,100.00
55.01,37.73,0.00,Weekday,Friday,Light_Load,100.00,82.47
3.06,3.71,0.00,Weekday,Thursday,Light_Load,100.00,63.63
2.63,4.14,0.00,Weekend,Sunday,Light_Load,100.00,53.62
3.78,0.00,15.59,Weekend,Sunday,Light_Load,23.56,100.00
3.24,6.05,0.00,Weekday,Friday,Light_Load,100.00,47.21
3.20,0.00,16.96,Weekend,Sunday,Light_Load,18.54,100.00
2.84,0.00,4.39,Weekday,Friday,Light_Load,54.32,100.00
4.68,1.22,15.66,Weekend,Sunday,Light_Load,28.63,96.77
57.20,26.60,0.00,Weekday,Thursday,Medium_Load,100.00,90.67
2.84,4.39,0.00,Weekday,Tuesday,Light_Load,100.00,54.32
4.57,4.50,0.00,Weekday,Thursday,Light_Load,100.00,71.25
125.28,80.46,0.00,Weekday,Tuesday,Medium_Load,100.00,84.14
71.10,17.93,0.94,Weekday,Friday,Maximum_Load,99.99,96.96
3.06,3.60,0.00,Weekday,Friday,Light_Load,100.00,64.76
66.46,57.20,0.00,Weekday,Tuesday,Light_Load,100.00,75.79
38.09,21.13,0.50,Weekday,Friday,Medium_Load,99.99,87.45
4.18,0.00,26.89,Weekend,Saturday,Medium_Load,15.36,100.00
3.60,6.91,0.00,Weekday,Thursday,Light_Load,100.00,46.20
3.06,4.93,0.00,Weekday,Tuesday,Light_Load,100.00,52.74
2.95,0.00,17.32,Weekend,Sunday,Light_Load,16.79,100.00
41.98,4.79,0.29,Weekend,Saturday,Maximum_Load,100.00,99.36
2.66,3.96,0.00,Weekend,Saturday,Light_Load,100.00,55.76
42.44,38.88,0.00,Weekend,Saturday,Light_Load,100.00,73.74
52.67,30.96,0.00,Weekday,Thursday,Medium_Load,100.00,86.21
35.17,2.74,4.93,Weekday,Monday,Medium_Load,99.03,99.70
2.99,3.85,0.00,Weekday,Friday,Light_Load,100.00,61.34
76.97,39.56,0.00,Weekday,Thursday,Medium_Load,100.00,88.94
48.38,22.25,0.00,Weekday,Monday,Medium_Load,100.00,90.85
66.38,29.74,0.00,Weekday,Tuesday,Medium_Load,100.00,91.26
2.77,4.28,0.00,Weekend,Sunday,Light_Load,100.00,54.33
3.82,4.28,0.00,Weekday,Friday,Medium_Load,100.00,66.59
3.64,6.37,0.00,Weekday,Thursday,Light_Load,100.00,49.61
3.31,4.97,0.00,Weekend,Sunday,Light_Load,100.00,55.43
99.47,40.03,0.00,Weekday,Thursday,Maximum_Load,100.00,92.77
19.69,0.00,11.74,Weekday,Friday,Medium_Load,85.89,100.00
2.92,5.00,0.00,Weekend,Saturday,Light_Load,100.00,50.43
3.20,4.32,0.00,Weekend,Sunday,Light_Load,100.00,59.52
2.92,0.00,16.60,Weekday,Thursday,Light_Load,17.32,100.00
2.88,0.00,11.41,Weekday,Wednesday,Medium_Load,24.47,100.00
2.95,5.80,0.00,Weekday,Friday,Light_Load,100.00,45.34
3.42,0.00,16.85,Weekday,Friday,Light_Load,19.89,100.00
52.20,18.14,0.00,Weekday,Tuesday,Maximum_Load,100.00,94.46
56.12,32.15,0.00,Weekday,Tuesday,Medium_Load,100.00,86.77
39.42,0.68,1.80,Weekday,Friday,Maximum_Load,99.90,99.99
3.38,4.72,0.00,Weekday,Thursday,Light_Load,100.00,58.22
15.52,0.00,11.95,Weekday,Tuesday,Medium_Load,79.23,100.00
103.39,25.63,0.00,Weekday,Friday,Medium_Load,100.00,97.06
146.27,76.79,0.00,Weekday,Monday,Medium_Load,100.00,88.54
4.00,5.80,0.00,Weekend,Saturday,Light_Load,100.00,56.77
2.52,4.21,0.00,Weekday,Wednesday,Light_Load,100.00,51.36
56.12,15.01,0.04,Weekday,Friday,Medium_Load,100.00,96.60
58.68,35.42,0.00,Weekday,Thursday,Maximum_Load,100.00,85.61
3.02,5.44,0.00,Weekend,Sunday,Light_Load,100.00,48.54
36.43,3.13,0.47,Weekend,Saturday,Medium_Load,99.99,99.63
33.52,11.45,0.25,Weekday,Wednesday,Medium_Load,100.00,94.63
37.08,4.18,1.94,Weekday,Wednesday,Maximum_Load,99.86,99.37
3.92,4.18,0.00,Weekday,Tuesday,Light_Load,100.00,68.41
77.44,45.25,0.00,Weekday,Wednesday,Maximum_Load,100.00,86.34
3.38,5.72,0.00,Weekend,Saturday,Light_Load,100.00,50.87
86.51,52.31,0.00,Weekday,Wednesday,Medium_Load,100.00,85.57
35.60,4.32,1.26,Weekend,Saturday,Maximum_Load,99.94,99.27
3.85,6.59,0.00,Weekend,Saturday,Light_Load,100.00,50.44
111.28,44.57,0.00,Weekday,Friday,Maximum_Load,100.00,92.83
4.14,6.08,0.00,Weekday,Thursday,Light_Load,100.00,56.28
4.82,0.00,17.10,Weekend,Sunday,Light_Load,27.13,100.00
6.77,0.00,20.20,Weekday,Tuesday,Medium_Load,31.78,100.00
2.84,0.00,17.21,Weekend,Saturday,Medium_Load,16.28,100.00
2.77,6.52,0.00,Weekend,Saturday,Light_Load,100.00,39.10
3.10,3.28,0.00,Weekend,Sunday,Light_Load,100.00,68.69
3.38,6.48,0.00,Weekend,Sunday,Light_Load,100.00,46.25
34.70,7.92,0.00,Weekend,Saturday,Maximum_Load,100.00,97.49
78.59,47.34,0.00,Weekday,Monday,Medium_Load,100.00,85.66
3.46,5.47,0.00,Weekday,Thursday,Light_Load,100.00,53.46
6.37,0.00,26.21,Weekend,Saturday,Maximum_Load,23.62,100.00
4.75,3.89,0.00,Weekday,Tuesday,Light_Load,100.00,77.37
106.67,43.74,0.00,Weekday,Friday,Maximum_Load,100.00,92.52
2.84,5.22,0.00,Weekday,Tuesday,Light_Load,100.00,47.79
4.00,2.99,0.00,Weekend,Sunday,Maximum_Load,100.00,80.10
4.57,4.46,0.00,Weekend,Sunday,Light_Load,100.00,71.57
30.64,8.71,4.68,Weekday,Wednesday,Medium_Load,98.85,96.19
2.63,4.75,0.00,Weekend,Sunday,Light_Load,100.00,48.44
2.81,0.00,11.56,Weekend,Sunday,Light_Load,23.62,100.00
3.28,4.10,0.00,Weekday,Tuesday,Light_Load,100.00,62.47
3.28,6.41,0.00,Weekday,Monday,Light_Load,100.00,45.55
3.78,0.14,3.89,Weekend,Sunday,Light_Load,69.69,99.93
4.64,6.01,0.00,Weekday,Tuesday,Light_Load,100.00,61.11
60.73,27.40,0.00,Weekday,Wednesday,Maximum_Load,100.00,91.15
46.87,15.34,4.28,Weekday,Friday,Maximum_Load,99.59,95.04
3.06,3.24,0.00,Weekend,Sunday,Light_Load,100.00,68.66
3.17,3.78,0.00,Weekend,Saturday,Light_Load,100.00,64.26
3.38,4.03,0.00,Weekday,Wednesday,Light_Load,100.00,64.26
3.92,4.82,0.00,Weekday,Tuesday,Medium_Load,100.00,63.10
45.04,11.20,0.14,Weekday,Tuesday,Medium_Load,100.00,97.04
7.60,0.00,22.36,Weekday,Wednesday,Medium_Load,32.18,100.00
2.92,5.83,0.00,Weekend,Sunday,Light_Load,100.00,44.78
2.99,5.72,0.00,Weekday,Wednesday,Medium_Load,100.00,46.33
45.43,22.28,7.31,Weekday,Wednesday,Maximum_Load,98.73,89.78
7.81,4.97,0.00,Weekday,Friday,Light_Load,100.00,84.37
3.28,5.87,0.04,Weekday,Friday,Medium_Load,99.99,48.78
3.92,0.00,24.41,Weekday,Wednesday,Light_Load,15.86,100.00
3.49,3.02,0.00,Weekday,Wednesday,Light_Load,100.00,75.62
4.61,4.21,0.00,Weekend,Sunday,Maximum_Load,100.00,73.84
3.24,4.32,0.00,Weekday,Wednesday,Light_Load,100.00,60.00
103.82,45.50,0.00,Weekend,Saturday,Maximum_Load,100.00,91.59
4.14,3.46,0.07,Weekend,Saturday,Light_Load,99.99,76.73
35.50,19.01,0.65,Weekday,Monday,Medium_Load,99.98,88.16
4.93,6.05,0.00,Weekday,Monday,Medium_Load,100.00,63.17
3.31,0.00,17.35,Weekend,Saturday,Medium_Load,18.74,100.00
4.46,0.00,24.66,Weekday,Wednesday,Medium_Load,17.80,100.00
3.71,1.44,14.58,Weekday,Friday,Medium_Load,24.66,93.22
